150640-3-1.0-*-4-150974-1.0,26
86850-0-0.8-*-8-*-0.8,607354
*-0-1.0-*-6-80096-0.4,34845
94169-0-1.0-*-4-94224-0.4,15527
253840-0-0.2-*-6-253811-0.6,34845
178622-2-0.4-*-10-1729-0.4,29977
71597-0-0.6-*-8-72393-1.0,8757
200786-0-0.4-*-8-*-0.8,607354
*-0-1.0-*-2-215518-0.6,156826
268123-0-0.6-*-3-268021-0.6,105125
*-0-1.0-*-4-37102-1.0,6894
138551-3-0.6-*-4-138715-1.0,4832
155609-0-0.4-*-2-155858-0.2,156826
*-0-1.0-*-8-166967-1.0,8036
*-3-1.0-*-4-259310-0.4,102802
*-0-1.0-*-8-121469-1.0,3114
271184-0-1.0-*-4-*-0.2,12670
14178-0-0.6-*-8-14720-0.6,302445
113652-3-0.4-*-4-113400-0.2,102802
51895-0-0.2-*-7-*-0.8,202319
202880-0-1.0-*-8-203012-0.2,52682
*-0-1.0-*-8-262996-1.0,1557
*-0-1.0-*-4-101003-0.4,202319
98702-0-0.6-*-7-2373-1.0,249
131767-0-0.6-*-8-*-1.0,607354
167200-3-0.6-*-8-167466-0.8,154245
*-0-1.0-*-4-270852-0.2,202319
137173-0-1.0-*-8-136528-0.8,6981
*-0-1.0-*-8-48539-0.4,407915
266542-0-0.6-*-3-266058-0.4,156826
140470-0-0.6-*-8-140723-0.8,52401
52526-0-0.6-*-8-*-0.8,607354
44744-0-0.6-*-1-45552-0.2,312739
44096-0-0.6-*-8-44123-0.6,302445
*-0-1.0-*-8-46454-0.2,607354
18239-3-0.8-*-8-17372-1.0,2428
*-0-1.0-*-4-262221-1.0,11945
72040-3-0.2-*-4-*-0.6,102802
31219-0-0.8-*-2-*-0.2,156826
71867-0-0.8-*-1-71674-0.8,312739
158634-3-0.8-*-8-158654-1.0,1789
194330-0-0.8-*-8-*-0.4,607354
34259-3-0.8-*-8-34184-0.6,93977
34235-3-0.6-*-4-34055-0.2,102802
*-3-1.0-*-7-306-0.8,1208
198562-3-0.6-*-4-198259-0.6,102802
*-0-1.0-*-2-244764-0.6,156826
50305-0-0.8-*-8-49724-0.8,304909
*-3-1.0-*-4-81327-0.8,102802
68240-0-0.4-*-6-*-1.0,34845
39917-3-0.8-*-8-*-0.6,188437
